trave_points,stars,users,price,num_of_features,beach,bar,massage,child_care,restaurant_show,bike_rent,car_rent,rooftop,fitness,spa,inclusive,billyard,swimming_pool,kitchen,fishing
8.4,3,1602,433491,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,3,5918,374811,6,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0
8.7,3,1906,510206,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8.6,4,476,1117414,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,4,299,1641721,6,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
8.9,0,141,382044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,3,1943,523781,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9.5,3,43,567993,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8.4,3,1779,333044,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
9.1,0,116,313288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,2,3691,304622,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
8.4,3,4585,774940,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8.2,3,5434,429643,5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
9.2,0,34,681758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,5,1568,1387895,6,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
9.0,5,161,1057563,6,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
8.2,3,2464,370122,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8.4,3,1997,538703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4,3,57,1316726,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8.6,5,590,553192,6,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
8.9,0,74,298308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,4,934,762365,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9.1,5,109,3837743,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8.4,4,682,909022,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8.7,4,1141,912667,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0
8.7,4,331,999364,6,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
8.8,0,88,348950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,1,550,231084,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
8.6,4,485,708478,5,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
8.6,4,500,1489607,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.8,5,769,1571912,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
8.6,0,263,957929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,5,73,1699689,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,3,297,547125,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,3,1412,564060,6,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
8.3,4,246,2019976,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,4,242,1879173,6,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0
9.0,5,558,2559645,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
8.8,0,20,604617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9,5,901,5323174,6,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0
8.8,5,35,2133570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.6,0,19,1188407,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8.8,4,156,2347776,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8.2,4,819,908816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,3,1457,810179,6,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
8.5,5,614,1509573,6,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
8.9,5,338,1842633,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9.3,5,89,6024367,5,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
8.6,4,1458,890200,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
7.9,3,1828,338599,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
8.4,4,288,559920,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8.8,4,712,1748707,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
8.6,5,328,1574784,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
9.0,4,309,462247,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8.8,5,268,3547904,6,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8.7,5,19,9345461,6,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
8.4,4,842,648991,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,4,282,1237506,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8.7,5,27,3775861,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8.7,4,481,1002853,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
8.5,4,125,1932992,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8.4,4,2667,710517,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
8.3,4,1383,769973,6,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
8.7,5,62,4699133,6,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
8.0,2,841,365888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,5,362,2477959,5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
8.4,4,380,515086,6,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
7.5,3,347,418355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,4,467,367807,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8.4,3,4880,436177,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8.6,4,382,1504832,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
8.6,4,1160,993959,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
8.9,5,373,1900330,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8.6,5,1609,1391665,6,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
9.1,4,139,1626910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4,3,1920,746984,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8.3,5,1176,808784,6,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
9.0,4,56,793415,6,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
8.3,2,1010,450449,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.0,4,1775,688130,6,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0
8.6,4,1467,557537,6,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
8.8,4,189,2596683,6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
7.7,3,746,304309,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9.3,0,7,1618666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,0,122,274457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,2,946,381031,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
8.9,4,456,769804,6,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
8.5,3,2582,553498,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
8.8,5,753,1480123,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
8.4,3,1093,394244,6,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
9.4,3,17,930221,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,3,1281,483151,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8.7,3,1350,533569,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
9.2,5,83,1616751,6,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
