name,trave_points,stars,users,price,num_of_features,all_features,location
Umaya Ubud Villa,0,3,,Rp 1.895.192,0,[],"Monkey Forest, Ubud"
Residence 888 Villa Ubud,0,3,,Rp 1.896.087,2,"['Payung pantai', 'Kursi berjemur tepi kolam']","Ubud, Gianyar"
D'Licks Villa Lembongan, 8.9 ,2,(81),Rp 271.833,0,[],"Nusa Lembongan, Nusa Island"
Amed Romance House,0,0,,Rp 267.998,4,"['Snorkeling', 'Menyelam', 'Hewan peliharaan diizinkan', 'Layanan pijat']","Amed, Karangasem"
Diamond Glamping By BIO Management, 8 ,3,(7),Rp 428.709,1,['Area piknik'],"Bedugul, Tabanan"
Villa Surya Abadi 1,0,0,,Rp 241.964,0,[],"Canggu, Kuta Utara"
Pelangi Homestay RedPartner, 7.6 ,0,(15),Rp 185.442,0,[],"Bedugul, Tabanan"
Villa Kampung kecil ,0,4,,Rp 2.064.261,6,"['Transportasi ke pantai', 'Penitipan sepeda', 'Penyewaan sepeda', 'Layanan pijat', 'Dapur kecil', 'Antar-jemput bandara']","Sanur, Bali"
Kuta Paradise 777, 8.7 ,3,(16),Rp 325.269,2,"['Pengering pakaian', 'Dapur kecil']","Legian, Kuta"
BeingSattvaa Luxury Ubud,0,4,,Rp 2.461.256,6,"['Kursi berjemur', 'Layanan pijat', 'Antar-jemput bandara', 'Kursi berjemur tepi kolam', 'Spa', 'Bar']","Tegallalang, Ubud"
Alia Home, 8.6 ,1,(228),Rp 369.563,2,"['Penyewaan sepeda', 'Sewa mobil']","Sanur, Bali"
Belvilla 93726 Collins Villa,0,3,,Rp 611.990,0,[],"Nusa Dua, Kuta Selatan"
Bali Agung Village,0,3,,Rp 989.659,6,"['Penitipan anak', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Antar-jemput bandara']","Seminyak, Kuta"
21 Lodge , 8.4 ,1,(54),Rp 331.545,4,"['Pengering pakaian', 'Layanan pijat', 'Bar di kolam renang', 'Antar-jemput bandara']","Nusa Dua, Kuta Selatan"
Uma Karan, 9 ,3,(45),Rp 805.835,0,[],"Seminyak, Kuta"
Scooby Doo Bungalows Nusa Penida,0,0,,Rp 580.910,1,['Penyewaan sepeda'],"Nusa Lembongan, Nusa Island"
Bali Ayu Hotel And Villas,0,3,,Rp 703.606,0,[],"Seminyak, Kuta"
Anantaya Home, 8.6 ,0,(35),Rp 270.082,0,[],"Denpasar Selatan, Denpasar"
Sari Room Bed & Breakfast,0,2,,Rp 500.000,0,[],"Tanjung Benoa, Nusa Dua"
Omah Nusa Villa RedPartner,0,0,,Rp 307.608,0,[],"Nusa Penida, Nusa Island"
Gentari Homestay Nusa Penida, 9.1 ,0,(17),Rp 215.840,1,['Sewa mobil'],"Nusa Penida, Nusa Island"
RedDoorz @ Uluwatu Suites,0,1,,Rp 363.689,0,[],"Ungasan, Uluwatu"
Villa Telaga Wana,0,0,,Rp 691.529,4,"['Pemancingan', 'Bersepeda atau bersepeda gunung', 'Penitipan anak', 'Layanan pijat']","Batubulan, Sukawati"
The Saya House Villa by Hombali,0,4,,Rp 1.620.724,0,[],"Kerobokan, Kuta Utara"
Lingga Bali, 8.5 ,4,(85),Rp 561.668,0,[],"Kintamani, Bangli"
Dinara Ubud , 9 ,4,(14),Rp 1.751.221,0,[],"Ubud, Gianyar"
Bukawa Residences Balangan,0,4,,Rp 1.075.480,1,['Check-out ekspress'],"Jimbaran, Kuta Selatan"
West Break Bali Medewi, 8.5 ,3,(12),Rp 541.881,5,"['Bilyar', 'Ruangan game', 'Kursi berjemur tepi kolam', 'Area piknik', 'Bar']","Mendoyo, Jembrana"
Ananda's Sanur ,0,0,,Rp 490.923,1,['Pengering pakaian'],"Sanur, Bali"
Umah Tis Sebatu, 8.7 ,3,(275),Rp 825.858,6,"['Kursi berjemur', 'Layanan pijat', 'Dapur kecil', 'Payung pantai', 'Check-out ekspress', 'Spa']","Sebatu, Tegallalang"
Ocean Villa Dive Resort - Tulamben,0,3,,Rp 421.771,1,['Kursi berjemur tepi kolam'],"Tulamben, Karangasem"
Mahendra Beach Inn, 8.1 ,1,(298),Rp 207.234,1,['Sewa mobil'],"Poppies, Kuta"
Arjuna Homestay Ubud, 8.3 ,1,(181),Rp 124.790,0,[],"Monkey Forest, Ubud"
Rini Hotel , 8.7 ,2,(18),Rp 314.997,2,"['Sewa mobil', 'Layanan pijat']","Lovina, Buleleng"
Villa Neshama,0,4,,Rp 837.076,2,"['Kursi berjemur pantai', 'Handuk pantai']","Canggu, Kuta Utara"
Tirta Ayu Hotel and Restaurant,0,0,,Rp 1.851.607,3,"['Sewa mobil', 'Layanan pijat', 'Spa']","Tirta Gangga, Karangasem"
Mambo Beach Resort,0,3,,Rp 1.544.729,1,['Area piknik'],"Nusa Penida, Nusa Island"
Surga House Jempana Kintamani RedPartner, 6.8 ,0,(8),Rp 326.712,0,[],"Kintamani, Bangli"
Kusuma Resort Seminyak, 7.8 ,3,(14),Rp 944.945,4,"['Penitipan anak', 'Penyewaan sepeda', 'Sewa mobil', 'Bar di kolam renang']","Legian, Kuta"
Sri Abi Ratu Villa, 7.8 ,4,(7),Rp 668.102,6,"['Limosin/mobil', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Check-out ekspress', 'Spa']","Batubulan, Sukawati"
Lavilla 7,0,3,,Rp 1.793.053,0,[],"Kemenuh, Ubud"
Villa Pastiny Santy Sidemen,0,0,,Rp 637.000,2,"['Penyewaan sepeda', 'Kursi berjemur tepi kolam']","Sidemen, Karangasem"
Ume Sari Nusa,0,0,,Rp 500.000,0,[],"Nusa Penida, Nusa Island"
OYO 90540 Swan Guest House,0,0,,Rp 174.456,1,['Check-out ekspress'],"Canggu, Kuta Utara"
CALMA UBUD, 8.7 ,4,(14),Rp 1.949.380,2,"['Bar di kolam renang', 'Spa']","Ubud, Gianyar"
The Beach Front Villas - North Bali, 8.9 ,3,(5),Rp 1.720.714,5,"['Aktivitas outdoor', 'Pengering pakaian', 'Layanan pijat', 'Dapur kecil', 'Antar-jemput bandara']","Sawan, Buleleng"
Apit Lawang Villas & Resto Nusa Penida, 8.8 ,0,(53),Rp 171.524,0,[],"Nusa Penida, Nusa Island"
Pertiwi Bisma 2, 8.6 ,3,(64),Rp 822.390,5,"['Bar', 'Sewa mobil', 'Layanan pijat', 'Spa', 'Bar']","Monkey Forest, Ubud"
The Rishi , 7.9 ,0,(41),Rp 1.059.577,1,['Sewa mobil'],"Umalas, Kuta Utara"
Pondok Mesari Padma Legian RedPartner,0,0,,Rp 226.793,0,[],"Legian, Kuta"
The Secret Jungle Villas Berawa,0,0,,Rp 2.055.671,1,['Dapur kecil'],"Canggu, Kuta Utara"
Asung Guesthouse , 8.6 ,2,(13),Rp 381.424,2,"['Pengering pakaian', 'Sewa mobil']","Canggu, Kuta Utara"
Bali Court Hotel and Apartments, 8.9 ,3,(13),Rp 557.540,2,"['Kursi berjemur', 'Kursi berjemur tepi kolam']","Legian, Kuta"
Indi Sanur Hotel, 7.7 ,1,(185),Rp 321.806,2,"['Penyewaan sepeda', 'Sewa mobil']","Sanur, Bali"
Villa Kayu Lama, 8.8 ,4,(7),Rp 2.449.433,6,"['Aktivitas outdoor', 'Penyewaan sepeda', 'Layanan pijat', 'Antar-jemput bandara', 'Check-out ekspress', 'Spa']","Ubud, Gianyar"
Adi Jaya Homestay, 8.3 ,1,(41),Rp 308.309,0,[],"Seminyak, Kuta"
Pande Guest House Pemuteran,0,3,,Rp 232.372,4,"['Pengering pakaian', 'Penyewaan sepeda', 'Antar-jemput bandara', 'Aksesibel bagi penyandang disabilitas']","Pemuteran, Buleleng"
The Sweet Corn Bungalow, 8.4 ,0,(20),Rp 200.601,0,[],"Nusa Penida, Nusa Island"
D'Tamblingan Guest House @ Taman Griya Jimbaran RedPartner ( Minimum Stay 30 Nights ),0,0,,Rp 1.015.417,0,[],"Jimbaran, Kuta Selatan"
Mamamia Island Villa,0,4,,Rp 620.145,5,"['Mandi uap', 'Kursi berjemur tepi kolam', 'Check-out ekspress', 'Area piknik', 'Bar']","Nusa Lembongan, Nusa Island"
The Umah Pandawa Homestay and Villas, 8.4 ,2,(195),Rp 567.724,3,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat']","Kutuh, Uluwatu"
Bay Shore Huts Lembongan, 8.5 ,4,(5),Rp 1.828.572,6,"['Bar', 'Pantai privat', 'Layanan pijat', 'Bar di kolam renang', 'Spa', 'Bar']","Nusa Lembongan, Nusa Island"
The Rahayu Cottage Nusa Penida, 8.6 ,0,(17),Rp 201.327,6,"['Transportasi ke terminal ferry', 'Snorkeling', 'Pengering pakaian', 'Penyewaan sepeda', 'Sewa mobil', 'Teras rooftop']","Nusa Penida, Nusa Island"
18 Suite Villa Loft, 9 ,4,(123),Rp 977.880,4,"['Layanan pijat', 'Antar-jemput bandara', 'Spa', 'Bar']","Kuta, Badung"
Alam Wayang Ubud, 9 ,4,(14),Rp 1.596.713,6,"['Winery', 'Aktivitas outdoor', 'Layanan pijat', 'Fasilitas bisnis', 'Check-out ekspress', 'Bar']","Sayan, Ubud"
Urban Haven Residence,0,0,,Rp 305.533,1,['Dapur kecil'],"Sanur, Bali"
Canggu 2Plex Managed by CPM Bali,0,0,,Rp 1.583.606,1,['Dapur kecil'],"Canggu, Kuta Utara"
Griya Shanti Villas & Spa, 9.2 ,4,(127),Rp 2.534.128,6,"['Penyewaan sepeda', 'Kursi berjemur pantai', 'Handuk pantai', 'Antar-jemput bandara', 'Payung pantai', 'Bar']","Ubud, Gianyar"
The Canggu Dome 3 - Rooftop Villa ,0,0,,Rp 4.527.612,0,[],"Canggu, Kuta Utara"
The Canggu Dome 1 - Rooftop Villa ,0,0,,Rp 2.556.956,0,[],"Canggu, Kuta Utara"
Cempaka 3 Inn, 6.7 ,2,(5),Rp 177.417,0,[],"Legian, Kuta"
Pondok Asri Denpasar, 8.5 ,1,(84),Rp 322.212,0,[],"Denpasar Barat, Denpasar"
Ode Resto Guesthouse, 9.1 ,2,(13),Rp 186.750,0,[],"Pemuteran, Buleleng"
Rarama Living Studio,0,2,,Rp 804.589,0,[],"Canggu, Kuta Utara"
Poka Villa & Spa,0,4,,Rp 2.292.942,5,"['Paket proposal romantis', 'Payung pantai', 'Kursi berjemur tepi kolam', 'Check-out ekspress', 'Area piknik']","Ubud, Gianyar"
The Legian Mas Beach Inn, 7.4 ,0,(53),Rp 226.976,1,['Penyewaan sepeda'],"Legian, Kuta"
KTS - Kubu Tepi Sawah,0,2,,Rp 713.244,3,"['Dapur kecil', 'Antar-jemput bandara', 'Spa']","Belimbing, Selemadeg"
Suardana Inn's, 8.9 ,3,(55),Rp 411.543,0,[],"Kuta, Badung"
Cemara Green Hill,0,0,,Rp 847.896,0,[],"Sidemen, Karangasem"
Dream Beach Kubu & SPA by ABM,0,0,,Rp 500.000,2,"['Layanan pijat', 'Spa']","Nusa Lembongan, Nusa Island"
Hotel O Pondok Tulasi Hostel Near Monkey Forest,0,0,,Rp 213.091,1,['Check-out ekspress'],"Monkey Forest, Ubud"
Kanma Resort,0,0,,Rp 629.116,0,[],"Kedewatan, Ubud"
Tjendana Kanaka Jungle Resort Ubud,0,3,,Rp 1.635.196,1,['Area piknik'],"Tegallalang, Ubud"
The Dukuh Retreat, 9.7 ,0,(6),Rp 887.946,6,"['Pemancingan', 'Bersepeda atau bersepeda gunung', 'Aktivitas outdoor', 'Ski', 'Hewan peliharaan diizinkan', 'Area piknik']","Kerambitan, Tabanan Kota"
Canggu Bali Villa by JIWA Hotels,0,3,,Rp 8.227.137,0,[],"Canggu, Kuta Utara"
Pondok Bali Ubud, 8.5 ,3,(95),Rp 306.714,4,"['Bersepeda atau bersepeda gunung', 'Penyewaan sepeda', 'Layanan pijat', 'Check-out ekspress']","Ubud, Gianyar"
Tanah Merah Art Resort by AGATA, 8.5 ,5,(28),Rp 1.003.799,5,"['Bar', 'Penyewaan sepeda', 'Layanan pijat', 'Spa', 'Bar']","Tampaksiring, Ubud"
Liberta Suites Seminyak,0,4,,Rp 1.740.122,1,['Bar'],"Seminyak, Kuta"
Kubu Turah Homestay, 7.4 ,1,(18),Rp 256.250,6,"['Olah raga air', 'Banana boat', 'Snorkeling', 'Berlayar', 'Pemancingan', 'Menyelam']","Jimbaran, Kuta Selatan"
Vaneka Garden House, 7.4 ,0,(5),Rp 288.159,0,[],"Payangan, Ubud"
Villa Sari Bumi Menjangan,0,0,,Rp 800.435,0,[],"Menjangan, Buleleng"
Anindya Sanur, 9 ,3,(75),Rp 635.044,4,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Check-out ekspress']","Sanur, Bali"
Green Bird Villa , 8.7 ,4,(83),Rp 1.284.937,6,"['Safari', 'Olahraga air', 'Olah raga air', 'Bersepeda atau bersepeda gunung', 'Tunggang kuda', 'Layanan pijat']","Monkey Forest, Ubud"
Wijaya Hostel,0,0,,Rp 158.512,6,"['Banana boat', 'Jet ski', 'Kano', 'Menyelam', 'Aktivitas outdoor', 'Layanan pijat']","Denpasar Utara, Denpasar"
The Jungle Hostel Canggu,0,2,,Rp 130.070,1,['Payung pantai'],"Canggu, Kuta Utara"
Rommeo Inn Lovina Mitra RedDoorz,0,2,,Rp 149.934,0,[],"Lovina, Buleleng"
Urban Style Biz Premier (Formerly Berry Biz Hotel), 8.1 ,4,(5.305),Rp 274.391,3,"['Fasilitas bisnis', 'Check-out ekspress', 'Bar']","Legian, Kuta"
Villa at Discovery Kartika Plaza Hotel, 7.9 ,4,(5),Rp 1.917.816,5,"['Lapangan tennis outdoor', 'Bar di kolam renang', 'Area piknik', 'Spa', 'Bar']","Kuta, Badung"
Lavilla 8,0,3,,Rp 1.440.000,0,[],"Kemenuh, Ubud"
Bisma Terrace Suite,0,0,,Rp 908.158,3,"['Tanda khusus bagi tuna netra', 'Kursi berjemur', 'Kursi berjemur tepi kolam']","Ubud, Gianyar"
Ped Cottage Penida, 9.5 ,0,(19),Rp 832.082,0,[],"Nusa Penida, Nusa Island"
"La Nusa, Nusa Penida", 8.9 ,2,(51),Rp 503.441,0,[],"Nusa Penida, Nusa Island"
Puri Kasih Home Stay,0,1,,Rp 444.445,1,['Dapur kecil'],"Sanur, Bali"
Kresna By The Sea By Villa Kresna, 8.7 ,4,(44),Rp 1.307.499,4,"['Penitipan anak', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat']","Seminyak, Kuta"
Ocean Sun Dive Resort,0,3,,Rp 816.931,3,"['Payung pantai', 'Kursi berjemur tepi kolam', 'Bar']","Tulamben, Karangasem"
Villa Deeksha,0,4,,Rp 7.437.418,0,[],"Pecatu, Uluwatu"
Umah Kita,0,0,,Rp 745.947,3,"['Layanan pijat', 'Kursi berjemur tepi kolam', 'Check-out ekspress']","Seminyak, Kuta"
Suarapura Resort & Spa, 9.3 ,3,(55),Rp 1.715.178,6,"['Transportasi ke pusat perbelanjaan', 'Aktivitas outdoor', 'Layanan pijat', 'Jacuzzi', 'Check-out ekspress', 'Spa']","Sebatu, Tegallalang"
Braw Inn Canggu,0,3,,Rp 409.099,1,['Antar-jemput bandara'],"Canggu, Kuta Utara"
Sabana Ubud,0,4,,Rp 1.262.619,5,"['Restoran show cooking', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Bar']","Monkey Forest, Ubud"
Jegeg Mas Cottage, 8.4 ,3,(20),Rp 440.090,5,"['Penyewaan sepeda', 'Layanan pijat', 'Antar-jemput bandara', 'Aksesibel bagi penyandang disabilitas', 'Spa']","Ubud, Gianyar"
Manzelejepun Luxury Villas And Apartment,0,5,,Rp 1.027.960,2,"['Hewan besar diizinkan', 'Hewan kecil diizinkan']","Sanur, Bali"
Sealuna Villas,0,3,,Rp 1.971.318,0,[],"Tanah Lot, Tabanan"
Hotel My New Lovina,0,3,,Rp 522.661,1,['Spa'],"Lovina, Buleleng"
Baruna Lake Side View,0,2,,Rp 547.703,0,[],"Kintamani, Bangli"
Sari Indah Cottages, 8.4 ,2,(36),Rp 321.694,0,[],"Legian, Kuta"
Verdant Bali Sekar Sari,0,5,,Rp 721.369,6,"['Pengering pakaian', 'Layanan pijat', 'Dapur kecil', 'Teras rooftop', 'Antar-jemput bandara', 'Check-out ekspress']","Denpasar Timur, Denpasar"
Pondok Manoka,0,3,,Rp 1.731.316,1,['Area piknik'],"Kintamani, Bangli"
Rumah Weda,0,0,,Rp 711.834,3,"['Sewa mobil', 'Layanan pijat', 'Check-out ekspress']","Ubud, Gianyar"
OYO 94091 Sn Guest House, 7.2 ,0,(7),Rp 133.285,0,[],"Denpasar Selatan, Denpasar"
Dinar Hills Ungasan, 8.5 ,3,(22),Rp 566.040,2,"['Layanan pijat', 'Bar di kolam renang']","Kutuh, Uluwatu"
Buruan Sari Villas by AGATA,0,1,,Rp 305.703,0,[],"Penebel, Tabanan"
Taman Ayu Homestay Munduk RedPartner,0,0,,Rp 140.411,0,[],"Munduk, Buleleng"
Samsara Desa,0,2,,Rp 297.211,0,[],"Kintamani, Bangli"
Prasi Sunset Bungalows, 8.8 ,2,(51),Rp 493.794,1,['Menyelam'],"Nusa Penida, Nusa Island"
RedDoorz @ Volcano Mountain View Kintamani,0,0,,Rp 418.209,0,[],"Kintamani, Bangli"
Alam Puisi Villa Ubud, 8.7 ,5,(206),Rp 1.813.204,6,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Antar-jemput bandara', 'Spa', 'Bar']","Tampaksiring, Ubud"
Sea Breeze Candidasa Bali, 9.2 ,4,(38),Rp 876.701,5,"['Pantai privat', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Spa']","Candidasa, Karangasem"
Kubu Belona Canggu,0,0,,Rp 961.624,5,"['Layanan pijat', 'Pusat kebugaran', 'Teras rooftop', 'Kursi berjemur tepi kolam', 'Spa']","Canggu, Kuta Utara"
Oka's Homestay, 7.1 ,0,(5),Rp 265.901,1,['Antar-jemput bandara'],"Canggu, Kuta Utara"
Nesa Sanur, 8.5 ,3,(31),Rp 764.968,5,"['Selancar', 'Banana boat', 'Pemancingan', 'Sewa mobil', 'Kursi berjemur tepi kolam']","Sanur, Bali"
The Alena Resort by Pramana, 8.7 ,5,(311),Rp 2.460.791,4,"['Penyewaan sepeda', 'Layanan pijat', 'Spa', 'Bar']","Ubud, Gianyar"
Malibu Huts Nusa Penida, 9 ,0,(29),Rp 610.750,1,['Layanan pijat'],"Nusa Penida, Nusa Island"
Denays Guest House Jimbaran, 8.1 ,3,(25),Rp 357.793,0,[],"Jimbaran, Kuta Selatan"
Alex Villas Complex N3,0,0,,Rp 1.980.466,2,"['Jacuzzi', 'Dapur kecil']","Canggu, Kuta Utara"
Pererenan Nengah Guest House,0,1,,Rp 599.737,4,"['Aktivitas outdoor', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat']","Canggu, Kuta Utara"
Prayatna Villas,0,0,,Rp 915.167,0,[],"Sebatu, Tegallalang"
Griya Canti Guest House,0,0,,Rp 359.100,0,[],"Tanah Lot, Tabanan"
Villa Jepun,0,4,,Rp 507.279,3,"['Paket proposal romantis', 'Kursi berjemur tepi kolam', 'Spa']","Lovina, Buleleng"
The Sender Pool Suite, 8.7 ,2,(7),Rp 1.945.284,0,[],"Ubud, Gianyar"
The Tempekan Nyang-Nyang, 9 ,0,(51),Rp 665.496,1,['Sewa mobil'],"Pecatu, Uluwatu"
De Amelia Seminyak Villa by Nagisa Bali,0,4,,Rp 1.908.428,1,['Pengering pakaian'],"Denpasar Barat, Denpasar"
New Garuda Hotel, 7.1 ,0,(5),Rp 294.000,1,['Tennis meja'],"Singaraja, Buleleng"
Suka Sari Cottages,0,1,,Rp 443.407,2,"['Layanan pijat', 'Antar-jemput bandara']","Pemuteran, Buleleng"
Puri Dibia Hotel,0,3,,Rp 320.320,0,[],"Kuta, Badung"
Ubud Dedari Villas, 8.9 ,3,(13),Rp 1.622.548,5,"['Transportasi ke pusat perbelanjaan', 'Teras rooftop', 'Payung pantai', 'Perpustakaan', 'Kursi berjemur tepi kolam']","Blahbatuh, Sukawati"
Murai Guest House , 7.4 ,0,(8),Rp 260.236,2,"['Layanan pijat', 'Spa']","Denpasar Utara, Denpasar"
D Sarian Seminyak , 8.3 ,3,(38),Rp 473.369,2,"['Pengering pakaian', 'Kursi berjemur tepi kolam']","Seminyak, Kuta"
Kubu Sental Cottage,0,1,,Rp 368.538,6,"['Snorkeling', 'Menyelam', 'Kursi berjemur pantai', 'Payung pantai', 'Check-out ekspress', 'Bar']","Nusa Penida, Nusa Island"
Le Sabot Ubud, 7.6 ,0,(6),Rp 842.086,0,[],"Sayan, Ubud"
Navalia Villa Bedugul,0,3,,Rp 783.391,1,['Check-out ekspress'],"Bedugul, Tabanan"
Casa Batu Belig,0,0,,Rp 1.288.804,0,[],"Seminyak, Kuta"
Guildwood Villa Bali,0,3,,Rp 745.026,3,"['Bilyar', 'Payung pantai', 'Kursi berjemur tepi kolam']","Sanur, Bali"
Beji Ubud Resort, 8.6 ,3,(280),Rp 1.113.329,6,"['Penyewaan sepeda', 'Layanan pijat', 'Bar di kolam renang', 'Kursi berjemur tepi kolam', 'Spa', 'Bar']","Kedewatan, Ubud"
Ranala Coliving,0,0,,Rp 721.248,1,['Dapur kecil'],"Seminyak, Kuta"
Abasan Hills Hotel and Spa Penida,0,0,,Rp 562.893,6,"['Banana boat', 'Jet ski', 'Menyelam', 'Bar di kolam renang', 'Check-out ekspress', 'Bar']","Nusa Penida, Nusa Island"
Villa Coco,0,3,,Rp 1.105.277,4,"['Sewa mobil', 'Dapur kecil', 'Bar di kolam renang', 'Bar']","Seminyak, Kuta"
Alam Kita Glamping & Plantation, 8.8 ,3,(15),Rp 317.151,1,['Aktivitas outdoor'],"Munduk, Buleleng"
OYO 91206 Abian Dedari Mesari, 7.2 ,1,(28),Rp 175.450,0,[],"Nusa Dua, Kuta Selatan"
Maylie Bali Villa & Bungalow,0,4,,Rp 1.249.803,1,['Spa'],"Canggu, Kuta Utara"
THE KANA KUTA,0,4,,Rp 810.432,2,"['Jacuzzi', 'Pusat kebugaran']","Kuta, Badung"
Karma Guest House RedPartner,0,0,,Rp 517.437,0,[],"Kutuh, Uluwatu"
Lili Cottage Ubud, 8.3 ,3,(18),Rp 978.634,5,"['Penitipan anak', 'Layanan pijat', 'Dapur kecil', 'Kursi berjemur tepi kolam', 'Check-out ekspress']","Ubud, Gianyar"
Nyoman Astana Bungalow, 9.1 ,1,(10),Rp 155.406,1,['Penyewaan sepeda'],"Ubud, Gianyar"
Sunny Village Batu Bolong,0,5,,Rp 2.986.049,0,[],"Canggu, Kuta Utara"
Ambara 2C by Hombali,0,4,,Rp 1.044.063,0,[],"Umalas, Kuta Utara"
Amarta Beach Cottages and Seaside Restaurant Candidasa, 8.7 ,3,(13),Rp 1.119.089,5,"['Pantai privat', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Spa']","Candidasa, Karangasem"
Amarta Beach Cottages and Seaside Restaurant Candidasa, 8.7 ,3,(13),Rp 1.119.089,5,"['Pantai privat', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Spa']","Candidasa, Karangasem"
De' Bharata Bali Villas Seminyak, 7.9 ,4,(22),Rp 1.669.349,6,"['Area berpayung', 'Penyewaan sepeda', 'Layanan pijat', 'Dapur kecil', 'Kursi berjemur tepi kolam', 'Check-out ekspress']","Seminyak, Kuta"
Ohana Retreat Bali ,0,0,,Rp 1.125.175,3,"['Penitipan sepeda', 'Handuk pantai', 'Teras rooftop']","Canggu, Kuta Utara"
Galalima Glamping by AGATA,0,0,,Rp 1.700.577,2,"['Aktivitas outdoor', 'Check-out ekspress']","Selemadeg, Tabanan"
Villa Taman di Blayu by Nagisa Bali, 8.6 ,4,(37),Rp 591.458,6,"['Restoran show cooking', 'Bersepeda atau bersepeda gunung', 'Layanan pijat', 'Antar-jemput bandara', 'Kursi berjemur tepi kolam', 'Bar']","Marga, Tabanan"
Lokasari Retreat, 8.4 ,3,(6),Rp 679.751,1,['Spa'],"Ubud, Gianyar"
Villa IPSA,0,3,,Rp 848.617,0,[],"Busung Biu, Buleleng"
Temple Cafe & Seaside Cottages, 8.6 ,3,(17),Rp 421.985,2,"['Spa', 'Bar']","Candidasa, Karangasem"
The Green Zhurga Suites, 8.6 ,3,(43),Rp 477.783,4,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Spa']","Kerobokan, Kuta Utara"
The Pande Hill Homestay,0,3,,Rp 569.070,3,"['Antar-jemput bandara', 'Payung pantai', 'Kursi berjemur tepi kolam']","Pecatu, Uluwatu"
Adi Abian Villa,0,0,,Rp 817.396,6,"['Kursi berjemur pantai', 'Handuk pantai', 'Layanan pijat', 'Antar-jemput bandara', 'Payung pantai', 'Check-out ekspress']","Pecatu, Uluwatu"
Room & Vespa 4, 8.5 ,3,(15),Rp 500.000,0,[],"Seminyak, Kuta"
Villa Sinta, 7 ,1,(25),Rp 8.666.915,0,[],"Bedugul, Tabanan"
Andewi Homestay RedPartner ( Minimum Stay 30 Nights ),0,0,,Rp 410.401,0,[],"Denpasar Selatan, Denpasar"
The Sloth Bali, 8.7 ,3,(39),Rp 708.520,2,"['Kursi berjemur tepi kolam', 'Check-out ekspress']","Canggu, Kuta Utara"
Rustic Pandawa Villa,0,0,,Rp 1.018.166,1,['Hewan peliharaan diizinkan'],"Kutuh, Uluwatu"
The Cozy Villas Lembongan by ABM, 8.6 ,2,(236),Rp 258.629,6,"['Snorkeling', 'Pemancingan', 'Menyelam', 'Layanan pijat', 'Spa', 'Bar']","Nusa Lembongan, Nusa Island"
Musik Villa in Canggu,0,4,,Rp 2.059.703,2,"['Teras rooftop', 'Kursi berjemur tepi kolam']","Canggu, Kuta Utara"
Tegal Sari Accommodation, 8.9 ,4,(12),Rp 2.060.796,6,"['Bersepeda atau bersepeda gunung', 'Aktivitas outdoor', 'Pengering pakaian', 'Handuk pantai', 'Layanan pijat', 'Perpustakaan']","Monkey Forest, Ubud"
Urbanview Hotel WG Jimbaran Bali,0,3,,Rp 229.497,0,[],"Jimbaran, Kuta Selatan"
djabu Canggu Beach Villa,0,3,,Rp 1.238.286,3,"['Penitipan anak', 'Sewa mobil', 'Layanan pijat']","Canggu, Kuta Utara"
Samudra Homestay,0,2,,Rp 237.464,0,[],"Kuta, Badung"
Ubud Heaven Penestanan, 8.3 ,4,(27),Rp 1.536.572,4,"['Sewa mobil', 'Layanan pijat', 'Dapur kecil', 'Spa']","Sayan, Ubud"
Artini Cottages 2,0,3,,Rp 804.530,6,"['Penitipan sepeda', 'Sewa mobil', 'Aksesibel bagi penyandang disabilitas', 'Check-out ekspress', 'Spa', 'Bar']","Ubud, Gianyar"
Villa Keyani,0,0,,Rp 386.400,6,"['Pemancingan', 'Kano', 'Menyelam', 'Penyewaan sepeda', 'Dapur kecil', 'Antar-jemput bandara']","Lovina, Buleleng"
Mutiara Bali,0,3,,Rp 635.827,2,"['Kursi berjemur tepi kolam', 'Spa']","Candidasa, Karangasem"
Kubu Jimbar, 8.9 ,3,(76),Rp 361.295,2,"['Bersepeda atau bersepeda gunung', 'Bar']","Jimbaran, Kuta Selatan"
Balangan Inn, 7.1 ,0,(7),Rp 142.118,1,['Antar-jemput bandara'],"Jimbaran, Kuta Selatan"
Micost's Homestay, 7.7 ,0,(9),Rp 222.692,1,['Dapur kecil'],"Denpasar Barat, Denpasar"
 The Lagoon Bali, 7.9 ,3,(65),Rp 781.209,5,"['Bar', 'Layanan pijat', 'Bar di kolam renang', 'Spa', 'Bar']","Legian, Kuta"
Belvilla Calm Woods Pandawa Beach,0,0,,Rp 554.589,1,['Check-out ekspress'],"Nusa Dua, Kuta Selatan"
