name,trave_points,stars,users,price,num_of_features,all_features,location
"The Westin Resort Nusa Dua, Bali		", 8.9 ,5,(1.073),Rp 3.896.589,6,"['Ruang santai', 'Bar pantai', 'Fasilitas bisnis', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Nusa Dua Beach, Nusa Dua"
Discovery Kartika Plaza Bali, 8.7 ,5,(1.225),Rp 1.714.302,6,"['Basket', 'Volley pantai', 'Bilyar', 'Fasilitas bisnis', 'Antar-jemput bandara', 'Bar']","Kuta, Badung"
Swiss Belhotel Rainforest, 8.5 ,4,(1.408),Rp 592.266,6,"['Transportasi ke pantai', 'Pengering pakaian', 'Layanan pijat', 'Pusat kebugaran', 'Check-out ekspress', 'Bar']","Kuta, Badung"
The Catur Villa Seminyak, 8.5 ,4,(227),Rp 1.249.150,1,['Sewa mobil'],"Seminyak, Kuta"
100 Sunset Kuta Hotel & Ballroom, 8.3 ,3,(2.267),Rp 469.134,4,"['Sewa mobil', 'Pusat kebugaran', 'Aksesibel bagi penyandang disabilitas', 'Check-out ekspress']","Kuta, Badung"
Duo Legian Hotel, 8.6 ,2,(4.476),Rp 261.421,6,"['Penitipan anak', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Antar-jemput bandara']","Legian, Kuta"
RV Hotel Kutus Kutus, 9.2 ,4,(496),Rp 412.789,4,"['Teras rooftop', 'Fasilitas bisnis', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas']","Ubud, Gianyar"
favehotel Kuta Kartika Plaza, 8.6 ,3,(2.116),Rp 565.479,4,"['Layanan pijat', 'Bar di kolam renang', 'Antar-jemput bandara', 'Spa']","Kuta, Badung"
Bloo Bali Hotel, 8.8 ,4,(753),Rp 501.276,3,"['Layanan pijat', 'Aksesibel bagi penyandang disabilitas', 'Kursi berjemur tepi kolam']","Legian, Kuta"
Hotel Amaris Kuta - Bali, 8.2 ,2,(1.907),Rp 326.763,1,['Aksesibel bagi penyandang disabilitas'],"Legian, Kuta"
Aloft Bali Kuta at Beachwalk, 9.1 ,4,(297),Rp 1.994.165,1,['Bar'],"Kuta, Badung"
POP! Hotel Kuta Beach, 8.2 ,2,(5.513),Rp 331.070,0,[],"Kuta, Badung"
Hilton Garden Inn Bali Ngurah Rai Airport, 8.5 ,3,(1.366),Rp 955.891,0,[],"Tuban, Kuta"
HARRIS Hotel Kuta Tuban Bali, 8.5 ,4,(2.846),Rp 1.011.278,5,"['Penitipan anak', 'Layanan pijat', 'Pusat kebugaran', 'Antar-jemput bandara', 'Spa']","Tuban, Kuta"
Mercure Kuta Bali, 8.5 ,4,(2.027),Rp 1.316.501,2,"['Golf', 'Check-out ekspress']","Kuta, Badung"
b Hotel Bali & Spa, 8.6 ,4,(1.971),Rp 556.368,6,"['Aktivitas outdoor', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Denpasar Barat, Denpasar"
The Haven Bali Seminyak, 8.7 ,4,(1.120),Rp 973.778,6,"['Transportasi ke pantai', 'Sewa mobil', 'Handuk pantai', 'Pusat kebugaran', 'Spa', 'Bar']","Seminyak, Kuta"
Hotel Santika Kuta, 8.7 ,3,(2.160),Rp 574.466,2,"['Transportasi ke pantai', 'Sewa mobil']","Kuta, Badung"
Hotel Santika Seminyak, 8.7 ,3,(1.405),Rp 678.698,5,"['Bar', 'Layanan pijat', 'Pusat kebugaran', 'Spa', 'Bar']","Seminyak, Kuta"
Sheraton Bali Kuta Resort, 8.8 ,5,(864),Rp 3.392.095,6,"['Klub anak', 'Paket proposal romantis', 'Klub kesehatan', 'Payung pantai', 'Spa', 'Bar']","Kuta, Badung"
d'primahotel Petitenget Seminyak 2, 8.6 ,4,(774),Rp 634.000,6,"['Restoran show cooking', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Spa', 'Bar']","Seminyak, Kuta"
Horison Le Aman , 8.9 ,0,(340),Rp 448.221,0,[],"Jimbaran, Kuta Selatan"
Horison Seminyak, 8.5 ,4,(2.967),Rp 645.794,6,"['Penyewaan sepeda', 'Kursi berjemur pantai', 'Handuk pantai', 'Bar di kolam renang', 'Payung pantai', 'Bar']","Seminyak, Kuta"
HARRIS Hotel and Conventions Denpasar Bali, 8.6 ,4,(1.823),Rp 665.975,2,"['Area main anak', 'Pusat kebugaran']","Denpasar Utara, Denpasar"
HARRIS Hotel Seminyak, 8.6 ,4,(1.411),Rp 692.892,5,"['Area main anak', 'Layanan pijat', 'Pusat kebugaran', 'Aksesibel bagi penyandang disabilitas', 'Spa']","Seminyak, Kuta"
Fame Hotel Sunset Road Kuta Bali, 8.7 ,3,(3.883),Rp 476.593,2,"['Layanan pijat', 'Antar-jemput bandara']","Legian, Kuta"
Sanur Resort Watujimbar, 9.2 ,4,(52),Rp 1.181.230,6,"['Tenda di tepi kolam', 'Sewa mobil', 'Layanan pijat', 'Bar di kolam renang', 'Kursi berjemur tepi kolam', 'Bar']","Sanur, Bali"
The Kanjeng Suites & Villas Sanur, 6.8 ,4,(566),Rp 444.157,4,"['Pengering pakaian', 'Layanan pijat', 'Kursi berjemur tepi kolam', 'Spa']","Sanur, Bali"
Villa Kayu Raja, 8.8 ,4,(676),Rp 1.685.077,6,"['Lapangan tenis indoor', 'Tennis', 'Layanan pijat', 'Dapur kecil', 'Pusat kebugaran', 'Lapangan tennis outdoor']","Seminyak, Kuta"
Fashion Hotel Legian, 8.4 ,4,(4.423),Rp 671.903,5,"['Teras rooftop', 'Bar di kolam renang', 'Antar-jemput bandara', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Legian, Kuta"
Watermark Hotel and Spa Bali, 8.8 ,4,(626),Rp 701.815,6,"['Sewa mobil', 'Layanan pijat', 'Pusat kebugaran', 'Teras rooftop', 'Antar-jemput bandara', 'Kursi berjemur tepi kolam']","Jimbaran, Kuta Selatan"
Swiss-Belhotel Tuban, 8.8 ,4,(1.585),Rp 815.850,6,"['Transportasi ke pusat perbelanjaan', 'Klub anak', 'Layanan pijat', 'Pusat kebugaran', 'Kursi berjemur tepi kolam', 'Bar']","Kuta, Badung"
The Isvara By Cove , 8.6 ,0,(102),Rp 804.810,2,"['Teras rooftop', 'Bar']","Seminyak, Kuta"
